algorithm,data_type,size,avg_time_s
BubbleSort,random,10000,2.833928
CocktailSort,random,10000,2.27598
InsertionSort,random,10000,1.365851
MergeSort,random,10000,0.011711
HeapSort,random,10000,0.015631
RadixSort,random,10000,0.006703
sorted(),random,10000,0.000806
BubbleSort,random,50000,
CocktailSort,random,50000,
InsertionSort,random,50000,
MergeSort,random,50000,0.070838
HeapSort,random,50000,0.100893
RadixSort,random,50000,0.047065
sorted(),random,50000,0.005689
BubbleSort,random,100000,
CocktailSort,random,100000,
InsertionSort,random,100000,
MergeSort,random,100000,0.161952
HeapSort,random,100000,0.260197
RadixSort,random,100000,0.104978
sorted(),random,100000,0.011517
BubbleSort,sorted,10000,0.000299
CocktailSort,sorted,10000,0.000296
InsertionSort,sorted,10000,0.000583
MergeSort,sorted,10000,0.009317
HeapSort,sorted,10000,0.015933
RadixSort,sorted,10000,0.005161
sorted(),sorted,10000,2.4e-05
BubbleSort,sorted,50000,
CocktailSort,sorted,50000,
InsertionSort,sorted,50000,
MergeSort,sorted,50000,0.055143
HeapSort,sorted,50000,0.10128
RadixSort,sorted,50000,0.035097
sorted(),sorted,50000,0.000168
BubbleSort,sorted,100000,
CocktailSort,sorted,100000,
InsertionSort,sorted,100000,
MergeSort,sorted,100000,0.116025
HeapSort,sorted,100000,0.216731
RadixSort,sorted,100000,0.081955
sorted(),sorted,100000,0.000498
BubbleSort,reversed,10000,3.554927
CocktailSort,reversed,10000,3.622209
InsertionSort,reversed,10000,2.667501
MergeSort,reversed,10000,0.009451
HeapSort,reversed,10000,0.014559
RadixSort,reversed,10000,0.0064
sorted(),reversed,10000,3.5e-05
BubbleSort,reversed,50000,
CocktailSort,reversed,50000,
InsertionSort,reversed,50000,
MergeSort,reversed,50000,0.056758
HeapSort,reversed,50000,0.093349
RadixSort,reversed,50000,0.033772
sorted(),reversed,50000,0.000212
BubbleSort,reversed,100000,
CocktailSort,reversed,100000,
InsertionSort,reversed,100000,
MergeSort,reversed,100000,0.119902
HeapSort,reversed,100000,0.216831
RadixSort,reversed,100000,0.084258
sorted(),reversed,100000,0.000594
BubbleSort,nearly_sorted,10000,0.000975
CocktailSort,nearly_sorted,10000,0.001022
InsertionSort,nearly_sorted,10000,0.00098
MergeSort,nearly_sorted,10000,0.009511
HeapSort,nearly_sorted,10000,0.01623
RadixSort,nearly_sorted,10000,0.00511
sorted(),nearly_sorted,10000,8.2e-05
BubbleSort,nearly_sorted,50000,
CocktailSort,nearly_sorted,50000,
InsertionSort,nearly_sorted,50000,
MergeSort,nearly_sorted,50000,0.055566
HeapSort,nearly_sorted,50000,0.097302
RadixSort,nearly_sorted,50000,0.033314
sorted(),nearly_sorted,50000,0.000485
BubbleSort,nearly_sorted,100000,
CocktailSort,nearly_sorted,100000,
InsertionSort,nearly_sorted,100000,
MergeSort,nearly_sorted,100000,0.117592
HeapSort,nearly_sorted,100000,0.223988
RadixSort,nearly_sorted,100000,0.084176
sorted(),nearly_sorted,100000,0.001242
BubbleSort,duplicates,10000,2.540023
CocktailSort,duplicates,10000,2.071942
InsertionSort,duplicates,10000,1.077178
MergeSort,duplicates,10000,0.01051
HeapSort,duplicates,10000,0.012149
RadixSort,duplicates,10000,0.001446
sorted(),duplicates,10000,0.000383
BubbleSort,duplicates,50000,
CocktailSort,duplicates,50000,
InsertionSort,duplicates,50000,
MergeSort,duplicates,50000,0.061685
HeapSort,duplicates,50000,0.07718
RadixSort,duplicates,50000,0.012955
sorted(),duplicates,50000,0.001902
BubbleSort,duplicates,100000,
CocktailSort,duplicates,100000,
InsertionSort,duplicates,100000,
MergeSort,duplicates,100000,0.134016
HeapSort,duplicates,100000,0.160234
RadixSort,duplicates,100000,0.01572
sorted(),duplicates,100000,0.004489
